name,population_size,speed,average_weight,diet,location
Aesculapian snake,-,-,-,Carnivore,-
Affenpinscher,-,-,-,Omnivore,-
African Bullfrog,Unknown,-,0.9 to 18 kilograms (2 - 4 pounds),Carnivore,-
African Bush Elephant,"300,000",25 mph,"3,600kg - 5,400kg (7,900lbs - 12,000lbs)",Herbivore,-
African Civet,Abundant,-,1.4kg - 4.5kg (3lbs - 10lbs),Omnivore,-
African Clawed Frog,Abundant,5 mph,25g - 220g (1oz - 8oz),Carnivore,-
African Forest Elephant,"200,000",24 mph,"900kg - 3,000kg (1,984lbs - 6,613lbs)",Herbivore,-
African Grey Parrot,"630,00 to 13 million",42 mph,14.75 to 18.5 ounces,Herbivore,-
African Palm Civet,Locally abundant,-,1.4kg - 4.5kg (3lbs - 10lbs),Omnivore,-
African Penguin,"140,000",12.4 mph,2kg - 5kg (4.4lbs - 11lbs),Carnivore,-
African Tree Toad,-,5 mph,2g - 5g (0.07oz - 0.18oz),Carnivore,-
African Wild Dog,"Less than 5,000",45 mph,17kg - 36kg (39lbs - 79lbs),Carnivore,-
Albacore Tuna,More than a million,50 mph,Up to 80lbs,Carnivore,-
Alpaca,Least concern,35 mph,48-84 kilograms (106-185 pounds),Herbivore,-
Alpine Dachsbracke,-,-,-,Omnivore,-
American Alsatian,-,-,66-88 pounds,Carnivore,-
American Bulldog,-,-,-,Omnivore,-
American Cocker Spaniel,-,-,-,Omnivore,-
American Cockroach,-,3.4 mph,0.105g,Omnivore,-
American Coonhound,-,-,-,Omnivore,-
American Dog Tick,-,-,-,Omnivore,-
American Eskimo Dog,-,-,-,Omnivore,-
American Foxhound,-,-,-,Omnivore,-
American Hairless Terrier,-,-,-,Omnivore,-
American Leopard Hound,-,42 mph,-,Omnivore,-
American Pit Bull Terrier,-,-,-,Omnivore,-
American Pygmy Goat,-,-,30-90 lbs,Herbivore,-
American Robin,310 million,36 mph,75-77g,Omnivore,-
American Staffordshire Terrier,-,-,-,Omnivore,-
American Toad,"Unknown, due to constant fluctuations in different regions.",-,Less than 1 lbs,Omnivore,-
American Water Spaniel,-,-,-,Omnivore,-
Anaconda,Unknown,10 mph,-,Carnivore,-
Anchovies,"20,700 metric tons",-,A few ounces,Omnivore,-
Antarctic scale worm,-,-,unknown,Carnivore,-
Apple Head Chihuahua,-,-,6 lbs,Omnivore,-
Arctic Fox,-,30 mph,1.4kg - 9.4kg (3lbs - 21lbs),Carnivore,-
Arctic Hare,-,40 mph,4kg - 5kg (9lbs - 12lbs),Herbivore,-
Arctic Wolf,-,46 mph,25kg - 40kg (55lbs - 88lbs),Carnivore,-
Arizona Bark Scorpion,-,-,2 ounces,Carnivore,-
Arizona Black Rattlesnake,-,-,-,Carnivore,-
Asian Cockroach,-,3 mph,0.105 g,Omnivore,-
Asian Palm Civet,-,-,1.4kg - 4.5kg (3lbs - 10lbs),Carnivore,-
Asiatic Black Bear,"50,000",25 mph,90kg - 115kg (198lbs - 253lbs),Omnivore,-
Aurochs,None,-,"Up to 1,360kg (3,000lbs)",Omnivore,-
Australian Cattle Dog,-,-,-,Omnivore,-
Australian Cockroach,-,3 mph,0.105 g,Omnivore,-
Australian Gecko,Millions. Conservation status of many of these geckos is least concern.,-,1.6 to 2.82 ounces,Omnivore,-
Avocet,-,25 mph,140g - 400g (5oz - 14oz),Carnivore,-
Bactrian Camel,-,40 mph,"600kg - 816kg (1,322lbs - 1,800lbs)",Herbivore,-
Banded Palm Civet,-,-,1.4kg - 4.5kg (3lbs - 10lbs),Carnivore,-
Bandicoot,-,15 mph,0.2kg - 1.6kg (0.4lbs - 3.5lbs),Omnivore,-
Banjo Catfish,-,-,-,Carnivore,-
Barnacle,-,-,-,Omnivore,-
Barracuda,-,-,-,Carnivore,-
Bearded Collie,-,-,-,Omnivore,-
Beauceron,-,-,-,Omnivore,-
Bergamasco,-,-,57-84 pounds,Omnivore,-
Berger Picard,-,-,70 lbs,Omnivore,-
Bichir,unavailable,-,5 - 10 lbs,Carnivore,-
Bichon Frise,-,-,-,Omnivore,-
Bichpoo,-,-,18 lbs,Omnivore,-
Biscuit Beetle,-,-,1-5mg,Herbivore,-
Black And Tan Coonhound,-,32 mph,-,Omnivore,-
Black Mamba,-,20 mph,-,Carnivore,-
Black Marlin,Unknown,-,1653,Omnivore,-
Black Rat Snake,"100,000",-,-,Carnivore,-
Black Rhinoceros,-,40 mph,"800kg - 1,400kg (1,800lbs - 3,100lbs)",Herbivore,-
Black Russian Terrier,-,-,-,Omnivore,-
Black Wasp,-,-,-,Omnivore,-
Black Widow Spider,-,-,-,Carnivore,-
Black-Capped Chickadee,41 million,-,0.36 ounces,Omnivore,-
Black-Footed Ferret,206 mature individuals,-,1.5-2.5 lbs,Carnivore,-
Blackpoll Warbler,"59,000,000",37 mph, 0.4-0.5 ounces,Omnivore,-
Blanket Octopus,"Unknown, but status is Least Concern",-,"6-10lbs (F), under an ounce (M)",Carnivore,-
Blue Catfish,Unknown; 100 million in the Chesapeake Bay,0.6 mph,25-150lbs,Omnivore,-
Blue Lacy Dog,-,-,-,Omnivore,-
Blue Picardy Spaniel,-,-,70 lbs,Omnivore,-
Blue-Ringed Octopus,Unknown,-,10-100g (0.35-3.5oz),Carnivore,-
Bluetick Coonhound,-,-,-,Omnivore,-
Bobcat,"1,000,000",34 mph,4.1kg - 15.3g (9lbs - 33lbs),Carnivore,-
Border Collie,-,-,-,Omnivore,-
Brookesia Micra,"70,000 to 95,000",-,Only 0.006 to 0.0074 ounces,Carnivore,-
Brown Dog Tick,-,-,-,Omnivore,-
Brown-banded Cockroach,-,3 mph,0.105 g,Omnivore,-
Cactus Mouse,-,8 mph,0.6oz - 1.41oz,Omnivore,-
Caecilian,-,-,Up to 2.2 pounds,Carnivore,-
Caiman,Unknown,25 mph,6kg - 300kg (13lbs - 660lbs),Carnivore,-
Caiman Lizard,unknown,-,3.6kg-5.4kg (8lbs-12lbs),Carnivore,-
Cairn Terrier,-,-,6kg (14lbs),Omnivore,-
Camel,20 million,40 mph,"300kg - 690kg (660lbs - 1,500lbs)",Herbivore,-
Camel Cricket,Millions,-,20 grams,Omnivore,-
Camel Spider,Unknown,10 mph,2 oz,Carnivore,-
Canaan Dog,-,-,25kg (55lbs),Omnivore,-
Canada Lynx,Unknown,50 mph,9 kgs (20 lbs),Carnivore,-
Canadian Eskimo Dog,300,-,-,Omnivore,-
Canadian Horse,"2,000",-,"408kg-544kg (900lbs-1,200lbs",Herbivore,-
Cane Corso,-,-,110 pounds,Omnivore,-
Cantil,-,-,-,Carnivore,-
Cape Lion,-,48 mph,up to 600 pounds,Carnivore,-
Capybara,Stable,22 mph,30kg - 70kg (66lbs - 154lbs),Herbivore,-
Caracal,-,50 mph,11kg - 18kg (24lbs - 40lbs),Carnivore,-
Caribou,About 5 million,50 mph,180 – 701+ lbs. (depending on species),Herbivore,-
Carolina Dog,-,-,18kg (40lbs),Omnivore,-
Carolina Parakeet,None,-,280g,Omnivore,-
Carp,Unknown,-,Up to 49lbs,Omnivore,-
Carpenter Ant,-,-,one to five milligrams,Omnivore,-
Carpet Python,-,-,-,Omnivore,-
Carpet Viper,-,-,-,Carnivore,-
Cascabel,-,-,-,Carnivore,-
Cashmere Goat,700 million,10 mph,-,Herbivore,-
Cassowary,-,31 mph,25kg - 58.5kg (55lbs - 129lbs),Omnivore,-
Cat-Eyed Snake,Unknown,-,-,Carnivore,-
Catahoula Leopard,-,45 mph,-,Omnivore,-
Catalan Sheepdog,-,-,-,Omnivore,-
Caterpillar,-,-,-,Herbivore,-
Catfish,-,-,-,Carnivore,-
Cava Tzu,-,-,-,Omnivore,-
Cavador,-,-,55 lbs,Omnivore,-
Cavalier King Charles Spaniel,-,-,8kg (18lbs),Omnivore,-
Cavapoo,-,-,-,Omnivore,-
Cecropia Moth,"Unknown, its conservation status is not evaluated on the IUCN Red List",-,0.1 pound,Omnivore,-
Centipede,-,-,-,Carnivore,-
Cesky Fousek,-,-,34kg (75lbs),Omnivore,-
Cesky Terrier,-,-,24 lbs,Omnivore,-
Chameleon,-,21 mph,0.01kg - 2kg (0.02lbs - 4.4lbs),Omnivore,-
Chamois,-,10 mph,50kg - 55kg (110lbs - 121lbs),Herbivore,-
Chartreux,-,-,seven to 16 pounds,Omnivore,-
